bunit,route,product,week,sales,trend,xmas_ny,pre_xmas_dip,pre_xmas_dip-1,bts,pre_xmas,jan_sales,feb_mar,tpr,reg_price,total_web,a_tvrs_direct,a_press,b_press,a_inserts_1,b_inserts,a_magazine,a_magazine_1,b_magazine,a_outdoor,a_radio,a_catalogue,a_catalogue_1,a_catalogue_2,a_catalogue_3,a_catalogue_4,pr_event,comp1,comp2,comp3,retail_sales
a,off,one,03/11/2008,7.937374696,0,0,0,0,0,0,0,0,0.042627346,-0.055540838,0.42641096,0,4.821947935,0,3.562567916,5.142066779,4.263708474,3.265003343,0,0,0,0,0,0,2.534976626,0,0,0.886083451,4.958630919,1.978638005,0
a,off,one,03/18/2008,7.991592282,0,0,0,0,0,0,0,0,0.090999327,-0.055540838,0.37712688,0,4.856679842,4.08545293,3.450689309,4.229321389,0,4.263708474,0,0,0,0,0,0,0,2.534976626,0,3.196875737,4.97201282,-0.022488538,0
a,off,one,03/25/2008,7.890956716,0,0,0,0,0,0,0,0,0.093752678,-0.055540838,0.35119305,0,4.844088401,3.187020309,2.86213863,3.628902709,4.450472864,0,0,0,0,3.758198552,0,0,0,0,0,4.096810502,4.982315017,4.351368087,0
a,off,one,04/01/2008,8.048788284,0,0,0,0,0,0,0,0,0.063779028,-0.055540838,0.47467125,0,3.94494257,0,2.462304779,4.529824998,0,4.450472864,0,0,0,0,3.758198552,0,0,0,0,4.5591763,3.418338399,2.012636898,0
a,off,one,04/08/2008,8.08147504,0,0,0,0,0,0,0,0,0.045675223,-0.055540838,0.47704052,0,4.028728606,0,3.647523407,4.132437264,4.225887144,0,0,0,0,0,0,3.758198552,0,0,0,3.900980303,2.398853467,2.926369018,0
a,off,one,04/15/2008,7.843064017,0,0,0,0,0,0,0,0,0.048194719,-0.055540838,0.46453961,0,4.129616559,0,2.92510207,4.511049387,3.759771227,4.225887144,0,0,0,0,0,0,3.758198552,0,0,3.736051467,2.994829678,3.588444739,0
a,off,one,04/22/2008,8.126222529,0.002273491,0,0,0,0,0,0,0,0.07322029,-0.055540838,0.52663877,0,4.159566057,3.329901213,3.559880463,5.092931641,3.164809581,3.759771227,0,0,0,3.771896376,0,0,0,3.758198552,0,4.537423669,4.506987515,4.490636173,0
a,off,one,04/29/2008,7.926602599,0,0,0,0,0,0,0,0,0,-0.055540838,0.40119003,0,4.144487262,0,3.533676456,4.583639747,0,3.164809581,0,0,0,0,3.771896376,0,0,0,0,3.21262036,2.435515135,2.520039644,0
a,off,one,05/06/2008,7.976595409,0,0,0,0,0,0,0,0,0.071952164,-0.014960233,0.36418384,0,3.932497657,3.942405313,3.33461792,5.193063473,0,0,0,0,0,0,0,3.771896376,0,0,0,3.97433999,3.38752395,2.941682076,0
a,off,one,05/13/2008,7.781973234,0,0,0,0,0,0,0,0,0.078045935,-0.014960233,0.40415815,0,3.794322995,3.443401205,3.928380847,4.219867156,0,0,0,0,0,0,0,0,3.771896376,0,0,3.659304504,3.143420176,2.920782829,0
a,off,one,05/20/2008,7.911324019,0,0,0,0,0,0,0,0,0.116986493,-0.014960233,0.51281888,0,3.750867356,3.866358546,3.701304766,3.965819474,3.164809581,0,0,0,0,3.693649067,0,0,0,3.771896376,1,3.709811842,4.989758073,4.129933624,0
a,off,one,05/27/2008,7.884199934,0,0,0,0,0,0,0,0,0.103546274,-0.014960233,0.5179937,0,3.878426671,4.033558312,2.895257244,3.745724668,0,3.164809581,0,0,0,0.688115954,3.693649067,0,0,0,1,-2.657288419,4.307479483,4.096266655,0
a,off,one,06/03/2008,7.955074273,0,0,0,0,0,0,0,0,0.087344256,-0.014960233,0.4798406,0,3.802617133,4.76059803,3.481910997,4.535986926,2.965237486,0,0,0,0,0,0.688115954,3.693649067,0,0,1,-2.691189971,3.963522901,0,0
a,off,one,06/10/2008,7.791935957,0,0,0,0,0,0,0,0,0.043097938,-0.014960233,0.38346683,0,3.891908702,4.845583406,4.056590222,5.309912152,2.965237486,2.965237486,0,0,0,0,0,0.688115954,3.693649067,0,1,-2.944970491,4.361928682,3.769526103,0
a,off,one,06/17/2008,7.931644021,0.005268926,0,0,0,0,0,0,0,0.021077926,-0.014960233,0.42794813,0,4.046166565,4.708727418,2.609932637,4.926243016,0,2.965237486,0,0,0,0,0,0,0.688115954,3.693649067,1,-3.062753527,4.002038556,2.452706524,0
a,off,one,06/24/2008,7.510977752,0,0,0,0,0,0,0,0,0.043821445,-0.014960233,0.41299429,0,3.682731109,3.981641521,3.061933151,0,0,0,0,0,0,3.424350746,0,0,0,0.688115954,0,2.704785913,4.236282446,3.905181732,0
a,off,one,07/01/2008,7.627057417,0.005196038,0,0,0,0,0,0,0,0.003329606,-0.014960233,0.34963076,0,3.962575605,2.198898017,0,4.384317372,0,0,0,0,0,0,3.424350746,0,0,0,0,4.027968934,0,2.311656918,0
a,off,one,07/08/2008,7.846980982,0.007506539,0,0,0,0,0,0,0,0.056951305,-0.014960233,0.44582927,0,4.176263557,0,3.331771847,4.080452344,0,0,0,0,0,0,0,3.424350746,0,0,0,2.4617029,1.530339997,3.220583374,0
a,off,one,07/15/2008,7.709308333,0.003335584,0,0,0,0,0,0,0,0,-0.014960233,0.58831236,0,4.09252303,2.391388799,2.991441466,3.678357124,0,0,0,0,0,0,0,0,3.424350746,0,0,3.354387169,2.201084008,4.17250963,0
a,off,one,07/22/2008,7.77317368,0,0,0,0,0.146789167,0,0,0,0.043403649,-0.014960233,0.53536356,0,4.228449435,0,3.362050349,1.160654233,1.990402793,0,0,0,0,3.424349108,0,0,0,3.424350746,0,3.815650178,4.920698216,4.080995485,0
a,off,one,07/29/2008,7.809541325,0,0,0,0,0.151588382,0,0,0,0.028595299,-0.014960233,0.58313035,0,3.970984938,0,1.346546476,1.241494046,0,1.990402793,0,0,0,0,3.424349108,0,0,0,0,4.152192291,2.532340633,3.560177279,0
a,off,one,08/05/2008,7.867488569,0,0,0,0,0.174866965,0,0,0,0.041006677,-0.014960233,0.57242351,0,4.104472984,0,4.355303629,0.277779147,0.868411977,0,0,0,0,0,0,3.424349108,0,0,0,3.695428082,2.43793067,3.966432339,0
a,off,one,08/12/2008,7.742402022,0,0,0,0,0,0,0,0,0.03028269,-0.014960233,0.52999122,0,3.895000512,0,4.24260997,1.68063705,4.477523802,0.868411977,0,0,0,0,0,0,3.424349108,0,0,3.271103199,2.113730488,4.017636137,0
a,off,one,08/19/2008,7.856706793,0,0,0,0,0,0,0,0,0.045864429,-0.014960233,0.55280931,0,3.728090501,0,4.168370463,2.580314899,3.233535949,4.477523802,0,4.147919924,0,3.966719102,0,0,0,3.424349108,0,1.311744841,3.425622342,3.675558543,0
a,off,one,08/26/2008,7.79893331,0,0,0,0,0,0,0,0,0,-0.008780787,0.54359809,2.282382386,3.980393903,1.516352225,4.307473557,1.241494046,3.411556696,3.233535949,0,0,0,0,3.966719102,0,0,0,0,3.871789729,5.954603952,4.356470577,0
a,off,one,09/02/2008,7.900636613,0,0,0,0,0,0,0,0,0.020901964,-0.008780787,0.65636501,2.104134154,4.223476846,0,4.510708121,0,1.560336419,3.411556696,0,0,0,0,0,3.966719102,0,0,0,2.599599129,2.723972053,3.697978821,0
a,off,one,09/09/2008,7.643482907,0,0,0,0,0,0,0,0,0.056642956,-0.008780787,0.76525808,2.509599262,4.480061833,0,4.275762204,0,4.62140345,1.560336419,0,0,0,0,0,0,3.966719102,0,0,2.443593753,4.264249446,3.661818226,0
a,off,one,09/16/2008,7.774015077,0,0,0,0,0,0,0,0,0.033254407,-0.008780787,1.0649087,2.646174797,4.175579233,4.807830139,4.163416626,0.907916167,2.97960303,4.62140345,0,0,0,0,0,0,0,3.966719102,0,2.443593753,4.353815645,4.574644891,0
a,off,one,09/23/2008,7.62900389,0,0,0,0,0,0,0,0,0.036349419,-0.008780787,1.06839031,2.151762203,4.335477589,3.574371333,4.854264474,0,3.514406939,2.97960303,0,0,0,3.685679807,0,0,0,0,0,3.890596339,5.283830435,5.240749386,0
a,off,one,09/30/2008,7.724004657,0.002742535,0,0,0,0,0,0,0,0.026541335,-0.008780787,0.76182292,3.144152279,4.442859648,0,4.185941537,0,2.322413896,3.514406939,0,0,0,0,3.685679807,0,0,0,0,2.930521879,2.285531214,3.832630176,0
a,off,one,10/07/2008,7.909122183,0.029987391,0,0,0,0,0.196515598,0,0,0.04599716,-0.008780787,0.79243481,3.60004824,4.130554084,0,4.18208608,0,3.963154888,2.322413896,0,0,0,0,0,3.685679807,0,0,0,2.930521879,2.296066303,2.657231592,0
a,off,one,10/14/2008,7.810352684,0.052440906,0,0,0,0,0.158524693,0,0,0,-0.008780787,0.82186748,3.532225644,4.396601955,0,3.662523496,0,3.860252229,3.963154888,0,0,0,0,0,0,3.685679807,0,0,2.930521879,2.671548099,2.119615477,0
a,off,one,10/21/2008,7.865955414,0.075662816,0,0,0,0,0.256575747,0,0,0,-0.026018224,0.57674108,3.583518938,4.260435527,0,3.252324973,0,2.996615857,3.860252229,0,0,0,4.706735386,0,0,0,3.685679807,0,3.309071973,5.487968631,5.096400184,0
a,off,one,10/28/2008,7.879669915,0.068156765,0,0,0,0,0.379035348,0,0,0.025999596,-0.050009989,0.52553859,3.42751469,4.393466918,3.6722885,3.691892944,1.00721526,2.322234628,2.996615857,0,0,0,0,4.706735386,0,0,0,0,3.120776616,3.739376485,2.275423915,0
a,off,one,11/04/2008,7.742402022,0.053492536,0,0,0,0,0.281848871,0,0,0.006515846,-0.050009989,0.48701774,3.795489189,4.493215407,4.303908359,5.243807866,0,3.176613603,2.322234628,0,0,0,0,0,4.706735386,0,0,0,3.72998364,3.227301485,2.741177608,0
a,off,one,11/11/2008,7.496097345,0.046241108,0,0,0,0,0,0,0,0.056973158,-0.050009989,0.35920954,4.128745989,5.096456394,0,4.809229857,0,3.462916,3.176613603,0,0,0,0,0,0,4.706735386,0,0,4.249382939,2.922481546,3.1614933,0
a,off,one,11/18/2008,8.659733878,0.090927416,0,0.465966956,0,0,0,0,0,0.430759917,-0.050009989,0.38455119,2.815408719,4.581894547,0,3.553810975,2.535320974,2.996615857,3.462916,0,0,4.514761032,4.254941289,0,0,0,4.706735386,0,0,1.948424771,3.291749147,0
a,off,one,11/25/2008,7.831220215,0.070927121,0.437411258,0,0.465966956,0,0,0,0,0.026415993,-0.050009989,0.60299591,3.288401888,4.30798535,0,0,3.626594572,2.322234628,2.996615857,0,0,0,0,4.254941289,0,0,0,0,1.883521008,5.088570611,4.299469389,0
a,off,one,12/02/2008,8.14815644,0.060827784,0.392097085,0,0,0,0,0,0,0,-0.050009989,0.84361693,2.766319109,3.840863167,0,3.823831699,0,3.176613603,2.322234628,0,0,0,0,0,4.254941289,0,0,0,2.366592102,2.726223444,2.878501899,0
a,off,one,12/09/2008,7.671826798,0.026102669,0,0,0,0,0,0,0,0.051421968,-0.050009989,0.82700897,2.694627181,4.098042224,0,3.880083203,0,3.555839418,3.176613603,0,-11.90831389,0,0,0,0,4.254941289,0,0,0,2.401872289,2.671785185,0
a,off,one,12/16/2008,7.920809679,0.009644009,0,0,0,0,0,0.161547253,0,0.109695516,-0.050009989,0.74579667,2.93385687,4.667298473,0,3.692483583,0,2.996615857,3.555839418,0,0,0,0,0,0,0,4.254941289,0,2.323231251,2.9110419,5.424246383,0
a,off,one,12/23/2008,7.947678571,0,0,0,0,0,0,0.219902441,0,0.100400595,-0.050009989,0.62320794,2.459588842,4.688541651,0,4.131553004,0,2.066303628,2.996615857,0,0,0,0,0,0,0,0,0,2.339360633,4.107561533,5.58293515,0
a,off,one,12/30/2008,7.657282793,0,0,0,0,0,0,0,0,0.110054536,-0.050009989,0.4517883,0,4.303030652,0,1.2028366,0,3.152097992,2.066303628,0,0,0,0,0,0,0,0,0,0,2.35674544,5.0591312,0
a,off,one,01/06/2009,7.609862201,0,0,0,0,0,0,0,0,0.062000623,-0.050009989,0.3532699,0,4.169750786,3.252384846,2.952384917,-0.107787562,3.991175918,3.152097992,0,0,0,4.261252011,0,0,0,0,0,2.461902282,2.244161219,4.98299803,0
a,off,one,01/13/2009,7.531016332,0,0,0,0,0,0,0,0,0.007544138,-0.050009989,0.37789229,0,4.458507613,0,2.55757618,3.755374878,3.006909558,3.991175918,0,0,0,0,4.261252011,0,0,0,0,0,2.466470933,-0.092537762,8.284504227
a,off,one,01/20/2009,7.719129841,0,0,0,0,0,0,0,0.103913735,0.022366631,-0.050009989,0.46723008,0,4.732089105,0,3.825906517,4.072541651,2.588438319,3.006909558,0,0,0,0,0,4.261252011,0,0,0,-0.919750504,5.1454776,4.266544731,8.279697134
a,off,one,01/27/2009,7.505492275,0,0,0,0,0,0,0,0.04950296,0,-0.050009989,0.41175742,0,4.699266117,0,4.857577794,4.12791975,3.006909558,2.588438319,0,0,0,0,0,0,4.261252011,0,0,3.242197891,3.349110933,0,8.204945165
a,off,one,02/03/2009,7.494430215,0,0,0,0,0,0,0,0.104901403,0.031299599,-0.03879881,0.31415255,0,4.615392435,0,0,2.271674597,4.075071418,3.006909558,0,0,0,4.261252011,0,0,0,4.261252011,0,5.313969972,3.294889634,-0.092537762,7.97074039
a,off,one,02/10/2009,7.404279118,0,0,0,0,0,0,0,0,0.041439364,-0.03879881,0.29912406,0,4.893179331,0,0.588652463,0,3.70005644,4.075071418,0,0,0,0,4.261252011,0,0,0,0,3.711984513,2.231085679,-0.152210094,7.822044008
a,off,one,02/17/2009,7.555905094,0,0,0,0,0,0,0,0,0.015447782,-0.03879881,0.29908417,0,4.433399252,0,4.602730527,0,1.958692308,3.70005644,0,0,0,0,0,4.261252011,0,0,0,3.795496332,3.041808774,0.65979829,7.729735331
a,off,one,02/24/2009,7.34601021,0,0,0,0,0,0,0,0,0.007179186,-0.03879881,0.30647582,0,3.305008381,0,4.253187045,0,3.426265754,1.958692308,0,0,0,0,0,0,4.261252011,0,0,3.999887875,4.692219909,3.787276959,7.643482907
a,off,one,03/03/2009,7.426549072,0,0,0,0,0,0,0,0,0.017251973,-0.03879881,0.40309221,0,3.697673773,0,4.588089302,0,2.962629365,3.426265754,0,0,0,4.261252011,0,0,0,4.261252011,0,4.218649342,1.895472749,0,7.259116128
a,off,one,03/10/2009,7.546446274,0,0,0,0,0,0,0,0,0.048064265,-0.03879881,0.76874752,0,4.163052856,0,3.332724415,4.968514622,4.517912258,2.962629365,0,0,0,0,4.261252011,0,0,0,0,4.082758016,2.89558258,0,7.418180823
a,off,one,03/17/2009,7.40671073,0,0,0,0,0,0,0,0,0.046263895,-0.03879881,0.79118916,0,4.132526441,0,4.442797973,4.659194811,2.954847826,4.517912258,0,0,0,0,0,4.261252011,0,0,0,0,3.469514486,-0.100496176,7.641564441
a,off,one,03/24/2009,7.220373837,0,0,0,0,0,0,0,0,0.041400895,-0.03879881,0.4331055,0,3.520331446,0,3.609794346,2.715708762,3.227707376,2.954847826,0,0,0,0,0,0,4.261252011,0,0,0.390403593,4.382213408,4.166666484,7.861727078
a,off,one,03/31/2009,6.9902565,0,0,0,0,0,0,0,0,0.049786437,-0.03879881,0,0,3.716841844,0,2.321290809,0,2.111588786,3.227707376,0,0,0,0,0,0,0,4.261252011,0,0,2.914120661,2.729058871,8.139148679
a,off,one,04/07/2009,7.159291905,0,0,0,0,0,0,0,0,0.048419604,-0.03879881,0.03830788,0,3.972388522,0,3.262457195,1.400625974,4.335568739,2.111588786,0,0,0,4.220676469,0,0,0,0,0,0,2.394889492,0.161820809,8.256866849
a,off,one,04/14/2009,7.177018766,0,0,0,0,0,0,0,0,0.041041744,-0.03879881,0.13150926,0,3.994245275,0,3.860728779,3.746186946,2.381363381,4.335568739,0,0,0,0,4.220676469,0,0,0,0,2.360101787,3.455760211,3.996395846,8.52337405
a,off,one,04/21/2009,7.177018766,0,0,0,0,0,0,0,0,0.051282704,-0.03879881,0.22881219,0,3.732969463,0,4.54372235,3.271127565,3.925414742,2.381363381,0,0,0,0,0,4.220676469,0,0,0,1.482135728,4.215814546,4.15894083,8.578852572
a,off,one,04/28/2009,7.042286172,0,0,0,0,0,0,0,0,0,-0.03879881,0.17139664,0,3.788766993,0,3.778654898,2.256644108,2.645355349,3.925414742,0,0,0,0,0,0,4.220676469,0,0,4.045470154,1.877974583,4.852513478,8.565411764
a,off,one,05/05/2009,7.059617628,0,0,0,0,0,0,0,0,0.050559924,-0.03879881,0.16114891,0,4.688265977,0,3.847086672,0,3.315264685,2.645355349,0,0,0,4.220676469,0,0,0,4.220676469,0,3.721760095,2.786371996,4.573096344,8.664578178
a,off,one,05/12/2009,7.074116816,0,0,0,0,0,0,0,0,0.011288162,-0.03879881,0.23795242,3.269568939,3.346071532,0,3.966262611,4.080640902,3.985854163,3.315264685,0,0,0,0,4.220676469,0,0,0,0,3.554649451,3.31194201,4.391305005,8.652772486
a,off,one,05/19/2009,7.076653815,0,0,0,0,0,0,0,0,0,-0.006947736,0.18150807,4.30676415,3.695742445,4.715200142,3.613808221,1.251589092,3.815925557,3.985854163,0,0,0,0,0,4.220676469,0,0,0,3.736162972,2.352071513,4.438151962,8.572627898
a,off,one,05/26/2009,6.940222469,0,0,0,0,0,0,0,0,0,-0.000684771,0.27711134,4.234106505,3.471941909,4.683750402,3.574355973,0,3.316400933,3.815925557,0,0,0,0,0,0,4.220676469,0,0,2.633920408,4.776745976,4.277604508,8.577723691
a,off,one,06/02/2009,7.101675972,0,0,0,0,0,0,0,0,0.001629627,-0.000684771,0.27837481,4.051784948,3.210229113,4.12126964,4.126280335,1.65387732,3.315264685,3.316400933,0,0,0,4.193838439,0,0,0,4.220676469,0,0,1.206361257,0,8.727454117
a,off,one,06/09/2009,6.899723107,0,0,0,0,0,0,0,0,0,-0.000684771,0.23920341,4.112511866,3.595628685,0,3.946974552,3.475033228,3.985854163,3.315264685,0,0,0,0,4.193838439,0,0,0,0,0,2.549390703,0,9.042986242
a,off,one,06/16/2009,6.924612396,0,0,0,0,0,0,0,0,0.052963839,0,0.30472886,3.793239469,3.24206782,0,4.465988513,2.946680845,3.056089662,3.985854163,0,0,0,0,0,4.193838439,0,0,0,0,2.825250916,0,9.456966047
a,off,one,06/23/2009,6.773080376,0,0,0,0,0,0,0,0,0.059016743,0,0.47014179,0,3.923166122,0,3.931834554,0,3.185296396,3.056089662,0,0,0,0,0,0,4.193838439,0,0,3.623731445,4.350093149,4.095174962,9.681281062
a,off,one,06/30/2009,6.829793738,0,0,0,0,0,0,0,0,0.03131191,0,0.31270839,4.510859507,3.312872173,0,3.426696351,0,4.488672423,3.185296396,0,0,0,0,0,0,0,4.193838439,0,3.768606551,1.906110865,0.687290456,9.754233199
a,off,one,07/07/2009,6.786716951,0,0,0,0,0,0,0,0,0.030476562,0,0.32890158,4.293195421,3.349733834,0,3.89002926,0,4.131797756,4.488672423,0,0,0,4.536721515,0,0,0,0,0,4.010728032,2.228571967,0.191632052,9.308917935
a,off,one,07/14/2009,6.839476438,0,0,0,0,0,0,0,0,0.005675899,0,0.35993082,4.085976313,3.670295576,0,4.4033345,0,3.312773768,4.131797756,0,0,0,0,4.536721515,0,0,0,0,4.010728032,1.973934325,0.816163265,9.257414779
a,off,one,07/21/2009,6.745236349,0,0,0,0,0.146789167,0,0,0,0,0,0.36000645,4.347693956,2.984450873,0,3.631184476,0,3.662220599,3.312773768,0,0,0,0,0,4.536721515,0,0,0,2.810912359,3.172402039,0.272697994,9.150165649
a,off,one,07/28/2009,6.923628628,0,0,0,0,0.151588382,0,0,0,0.055022921,-0.003121425,0.42776965,4.355425953,3.42186709,0,2.954937152,1.589020902,4.11587399,3.662220599,0,0,0,0,0,0,4.536721515,0,0,3.344827533,4.141384446,3.993817655,8.93813787
a,off,one,08/04/2009,6.949856455,0,0,0,0,0.174866965,0,0,0,0.058521034,-0.003121425,0.48755144,4.272490748,3.22136735,1.775067096,4.627973793,3.435785023,3.483452075,4.11587399,0,0,0,4.270738924,0,0,0,4.536721515,0,0,3.116778765,0.830074411,8.772920093
a,off,one,08/11/2009,6.843749949,0.003363653,0,0,0,0,0,0,0,0,-0.003121425,0.40374607,4.14472077,3.630601315,2.208646099,4.483785042,2.050569818,4.641988157,3.483452075,0,0,0,0,4.270738924,0,0,0,0,2.358002687,3.632190511,-0.019083314,8.584290935
a,off,one,08/18/2009,6.910750788,0,0,0,0,0,0,0,0,0.038891034,-0.026767179,0.34492472,3.701301974,4.073689766,2.157499751,4.842967298,2.561055592,4.604249499,4.641988157,0,0,0,0,0,4.270738924,0,0,0,0,2.925867189,-1.842500103,8.617762246
a,off,one,08/25/2009,6.884486652,0.001436124,0,0,0,0,0,0,0,0.041302942,-0.026767179,0.36733163,4.160444364,3.773687714,0,4.480241098,3.465921874,4.925495166,4.604249499,0,0,0,0,0,0,4.270738924,0,0,3.630074355,4.854876791,3.890886594,8.712101864
a,off,one,09/01/2009,6.960347729,0,0,0,0,0,0,0,0,0.055268717,-0.026767179,0.42472033,4.228292535,3.279575223,0,5.224165676,2.976025757,3.349311473,4.925495166,0,0,0,4.270738924,0,0,0,4.270738924,0,0,2.100598181,-0.114110247,8.732465848
a,off,one,09/08/2009,6.866933284,0,0,0,0,0,0,0,0,0.019470251,-0.026767179,0.47775477,3.784189634,3.319431912,1.841430873,4.143959889,3.631738488,4.783220843,3.349311473,0,0,0,0,4.270738924,0,0,0,0,5.748142327,2.874997544,0,8.617943095
a,off,one,09/15/2009,6.910750788,0,0,0,0,0,0,0,0,0.058315806,-0.026767179,0.4697125,4.232656178,3.339801156,2.759735125,5.022781243,1.522372283,4.004693912,4.783220843,0,0,0,0,0,4.270738924,0,0,0,6.438603975,2.218068152,0.651719769,8.35678967
a,off,one,09/22/2009,6.710523109,0,0,0,0,0,0,0,0,0.072417555,-0.026767179,0.39750774,3.713572067,3.330494092,3.629054727,4.551591309,0,0,4.004693912,0,0,0,4.464628713,0,0,4.270738924,0,0,5.829627679,4.219581481,4.2787608,8.118802997
a,off,one,09/29/2009,6.753437919,0,0,0,0,0,0,0,0,0.013915881,-0.026767179,0.33442507,4.21508618,3.478563967,0,4.397528842,0,4.164213452,0,0,0,0,0,4.464628713,0,0,4.270738924,0,3.85234969,1.932964739,0,8.321421587
a,off,one,10/06/2009,6.81014245,0,0,0,0,0,0.196515598,0,0,0.012102795,-0.026767179,0.41114864,4.139955073,3.441383043,0,4.352984931,0,4.863380233,4.164213452,0,0,0,0,0,4.464628713,0,0,0,0,0.890989682,5.393035613,8.606119401
a,off,one,10/13/2009,6.90475077,0,0,0,0,0,0.158524693,0,0,0.038090458,-0.026767179,0.46551822,4.084294226,3.765974539,0,4.353411095,0,3.501053205,4.863380233,0,0,0,0,0,0,4.464628713,0,0,0,2.059501658,4.953445057,8.810161268
a,off,one,10/20/2009,6.733401892,0,0,0,0,0,0.256575747,0,0,0,-0.026767179,0.5000164,4.087655574,3.731642866,0,4.455076849,0,4.179186721,3.501053205,0,0,0,4.302924707,0,0,0,4.464628713,0,0,2.196723622,4.815479413,9.018816604
a,off,one,10/27/2009,6.942156706,0.008448973,0,0,0,0,0.379035348,0,0,0.022235817,-0.041903393,0.45605248,4.463606622,3.857290103,0,4.144192683,0,4.310283637,4.179186721,0,0,0,0,4.302924707,0,0,0,0,3.365553664,4.235729193,4.161274331,9.266058861
a,off,one,11/03/2009,6.972606251,0,0,0,0,0,0.281848871,0,0,0.034409761,-0.041903393,0.4641298,4.615120517,3.440568939,0,4.597916365,0,4.916464107,4.310283637,0,0,0,0,0,4.302924707,0,0,0,2.359328947,-0.289483034,0,9.557893841
a,off,one,11/10/2009,7.014814351,0,0,0,0,0,0,0,0,0.077915775,-0.041903393,0.37239175,4.070734697,4.100544064,0,4.38623224,0,2.966282732,4.916464107,0,0,0,0,0,0,4.302924707,0,0,3.968766859,0.666137567,0,10.19555997
a,off,one,11/17/2009,5.857933154,0,0,0.465966956,0,0,0,0,0,0.152539896,-0.041903393,0.18756361,0,2.214499587,0,4.160093791,0,4.27539608,2.966282732,0,0,0,4.367463228,0,0,0,4.302924707,0,2.488363276,1.707602143,-0.366493337,10.37517726
a,off,one,11/24/2009,6.790097236,0.034366147,0.437411258,0,0.465966956,0,0,0,0,0.045256855,-0.041903393,0.34266757,0,0,0,2.216712168,0,2.920816336,4.27539608,0,0,0,0,4.367463228,0,0,0,0,3.702054743,4.241125689,4.184179169,9.913338869
a,off,one,12/01/2009,7.213768308,0.079624579,0.392097085,0,0,0,0,0,0,0.049061058,-0.041903393,0.39242969,0,1.011156211,0,4.481647073,0,3.511140887,2.920816336,0,0,0,0,0,4.367463228,0,0,0,0,0,-0.416647703,9.607168287
